element_id,player,position,club,player_cost,value_ratio,global_ownership,global_captain_percent,league_ownership,league_captain_percent,league_owner_count,league_owners,points_gw,minutes,status,opponent_team,kickoff_time,fixture_started,fixture_finished
112,Mads Roerslev Rasmussen,DEF,Brentford,4.5,0.0,0.0,1.9,0,0,0,,0,0,dnp,Nott'm Forest,2025-08-17T13:00:00Z,True,True
113,Sepp van den Berg,DEF,Brentford,4.5,0.67,0.4,1.9,0,0,0,,3,90,played,Nott'm Forest,2025-08-17T13:00:00Z,True,True
114,Benjamin Arthur,DEF,Brentford,4.0,0.0,0.3,1.0,0,0,0,,0,0,dnp,Nott'm Forest,2025-08-17T13:00:00Z,True,True
115,Benjamin Fredrick,DEF,Brentford,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Nott'm Forest,2025-08-17T13:00:00Z,True,True
116,Aaron Hickey,DEF,Brentford,4.0,0.0,0.5,1.0,0,0,0,,0,2,played,Nott'm Forest,2025-08-17T13:00:00Z,True,True
117,Kim Ji-soo,DEF,Brentford,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Nott'm Forest,2025-08-17T13:00:00Z,True,True
118,Jayden Meghoma,DEF,Brentford,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Nott'm Forest,2025-08-17T13:00:00Z,True,True
120,Kevin Schade,MID,Brentford,7.0,0.14,0.3,2.3,0,0,0,,1,45,played,Nott'm Forest,2025-08-17T13:00:00Z,True,True
121,Mikkel Damsgaard,MID,Brentford,6.0,0.0,1.0,2.1,0,0,0,,0,0,dnp,Nott'm Forest,2025-08-17T13:00:00Z,True,True
122,Antoni Milambo,MID,Brentford,5.5,0.18,0.1,2.0,0,0,0,,1,45,played,Nott'm Forest,2025-08-17T13:00:00Z,True,True
